Geo_FIPS,total_pop,pop_under18_per,pop_over65_per,pop_65_alone_per,pop_male_per,chd_dec,diabetes_dec,phlth_dec,popdens,housing_dens,canopy_per,veg_per,imperv_per,mtemp_16_20,pop_edu_per,pop_renter_per,cogdif_per,pop_foreignb_per,lep_per,pop_bipoc_per,sensitivity,exposure,adaptcap,hvi,sens_pct,exp_pct,adcap_pct,hvi_pct
41051000101,2740,0.1839416058,0.1416058394,0.3453608247,0.4974452555,0.037,0.056,0.088,9951.854436,5041.304364,0.2140138785,0.00884086444,0.5296070727,84,0.2909815645,0.4916058394,0.1086873326,0.03175182482,0.004571428571,0.149270073,-0.8466774169,0.1553741166,-1.304705568,-1.996008868,36.54822335,54.82233503,12.18274112,28.93401015
41051000102,3853,0.2026991954,0.1385933039,0.1947565543,0.4861147158,0.037,0.056,0.088,6086.129664,2541.547529,0.2374222445,0.2419089413,0.1744743097,79,0.2692973347,0.220607319,0.01253132832,0.0511289904,0,0.1326239294,-1.07806693,-2.886764436,-0.9317949135,-4.89662628,32.48730964,6.091370558,21.31979695,4.060913706
41051000201,3578,0.1908887647,0.1383454444,0.3636363636,0.4309670207,0.045,0.065,0.106,9475.198254,3874.291516,0.2459049566,0.1247216036,0.5236302895,84,0.5761957731,0.3345444382,0.09059131955,0.06987143656,0.02912904165,0.1447736165,0.5033296281,0.1983019852,-0.5202998756,0.1813317377,58.37563452,56.34517766,35.53299492,57.8680203
41051000202,2743,0.1647830842,0.2023332118,0.6252252252,0.474662778,0.045,0.065,0.106,6172.56236,3247.177355,0.1625555861,0.0030651341,0.7029118774,84,0.4114701866,0.5238789646,0.04639940609,0.04338315713,0,0.1567626686,1.662244182,-0.1362514057,0.02955888618,1.555551662,76.14213198,38.5786802,55.32994924,70.05076142
41051000301,6136,0.1359191656,0.1127770535,0.289017341,0.482398957,0.043,0.058,0.098,9183.955785,3270.362352,0.2842013961,0.1902552204,0.5013727765,83,0.4584770496,0.350065189,0.0785144989,0.06192959583,0,0.2504889179,-1.406484348,-0.2706444311,-1.159137334,-2.836266113,26.39593909,35.02538071,14.21319797,16.75126904
41051000302,7681,0.2321312329,0.1614373128,0.1620967742,0.4798854316,0.041,0.059,0.085,7344.383182,2621.832923,0.3937445114,0.1741321389,0.387256439,82,0.2972924511,0.1105324827,0.03750689465,0.06092956646,0.006756756757,0.1322744434,-0.1989319981,-1.422326816,-1.537391927,-3.158650742,46.70050761,14.72081218,7.614213198,12.69035533
41051000401,3934,0.2036095577,0.1009150991,0.1662468514,0.5091509914,0.038,0.056,0.093,7895.281192,3022.44369,0.2688624146,0.03843605036,0.5615838304,82,0.4095588235,0.3144382308,0.1172395417,0.06253177428,0.00583090379,0.1382816472,-1.606166012,-1.1288792,-1.572043762,-4.307088974,23.85786802,18.78172589,6.598984772,6.091370558
41051000402,3635,0.1790921596,0.1081155433,0.3435114504,0.5111416781,0.038,0.06,0.099,8042.460474,3380.709657,0.221571849,7.68E-04,0.5850921659,85,0.5491834409,0.3584594223,0.06333234685,0.1020632737,0.01708394698,0.1892709766,-1.097051261,0.241851356,-0.08579813725,-0.9409980426,31.47208122,58.88324873,50.76142132,44.16243655
41051000501,4355,0.2057405281,0.07784156142,0.3185840708,0.4890929966,0.038,0.062,0.112,10053.39588,4129.856541,0.208095926,7.99E-04,0.6204313099,85,0.5128365686,0.3008036739,0.07654198662,0.09207807118,0.01139459995,0.2142365098,-0.8902762871,0.6669336673,-0.782441787,-1.005784407,35.02538071,76.14213198,28.93401015,42.63959391
41051000502,4901,0.1671087533,0.1158947154,0.448943662,0.4974495001,0.041,0.067,0.111,9493.733637,3717.297459,0.2020877493,0.0225,0.6535875,86,0.6012691698,0.3703325852,0.09386281588,0.1828198327,0.03886175409,0.3301367068,-0.2380443415,1.105518601,-0.03436101498,0.8331132446,46.1928934,86.29441624,51.77664975,61.92893401
